year,city,country
1967,Warsaw,Poland
1968,Budapest,Hungary
1969,Brno,Czechoslovakia
1970,Moscow,Soviet Union
1971,Sofia,Bulgaria
1972,Bucharest,Romania
1974,Warsaw,Poland
1975,Güstrow,East Germany
1976,Budapest,Hungary
1977,Hradec Králové,Czechoslovakia
1979,Moscow,Soviet Union
1981,Varna,Bulgaria
1982,Malente,West Germany
1983,Bucharest,Romania
1984,Sigtuna,Sweden
1985,Portorož,SFR Yugoslavia
1986,Harrow,United Kingdom
1987,Jena,East Germany
1988,Bad Ischl,Austria
1989,Warsaw,Poland
1990,Groningen,Netherlands
1991,Havana,Cuba
1992,Helsinki,Finland
1993,Williamsburg,USA
1994,Beijing,China
1995,Canberra,Australia
1996,Oslo,Norway
1997,Sudbury,Canada
1998,Reykjavík,Iceland
1999,Padova,Italy
2000,Leicester,United Kingdom
2001,Antalya,Turkey
2002,Bali,Indonesia
2003,Taipei,Taiwan
2004,Pohang,South Korea
2005,Salamanca,Spain
2006,Singapore,Singapore
2007,Isfahan,Iran
2008,Hanoi,Vietnam
2009,Mérida,Mexico
2010,Zagreb,Croatia
2011,Bangkok,Thailand
2012,Tartu,Estonia
2013,Copenhagen,Denmark
