year,city,state
1991,México,Distrito Federal
1992,Cuautla,Morelos
1993,Acapulco,Guerrero
1994,San Luis Potosí,San Luis Potosí
1995,México,Distrito Federal
1996,Monterrey,Nuevo Leon
1997,Puebla,Puebla
1998,Durango,Durango
1999,Hermosillo,Sonora
2000,Guadalajara,Jalisco
2001,Ensenada,Baja California
2002,Morelia,Michoacan
2003,Ciudad Juarez,Chihuahua
2004,Zacatecas,Zacatecas
2005,Merida,Yucatan
2006,Durango,Durango
2007,Tuxtla Gutierrez,Chiapas
2008,Altamira,Tamaulipas
2009,Saltillo,Coahuila
2010,Ixtapan de la sal,Estado de Mexico
2011,Guadalajara,Jalisco
